CLASS,DESCRIPTION,CORES SATISFIED,DAYS/TIMES,ROOM,INSTRUCTOR,UNITS
ETHN 142 (38568),Asian American Communities,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 01:00 PM - 2:05pm,VARI 134,"Lai, James S",5.00
ETHN 142 (38568),Asian American Communities,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 01:00 PM - 2:05pm,VARI 134,"Lai, James S",5.00
ETHN 142 (38568),Asian American Communities,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 01:00 PM - 2:05pm,VARI 134,"Lai, James S",5.00
ETHN 142 (38568),Asian American Communities,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 01:00 PM - 2:05pm,VARI 134,"Lai, James S",5.00
ETHN 142 (38568),Asian American Communities,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 01:00 PM - 2:05pm,VARI 134,"Lai, James S",5.00
HIST 60 (39767),Race & Immigration in the US,"American Studies (Pathway), Democracy (Pathway), Diversity",TR 02:00 PM - 3:40pm,HEAFEY 225,"Jara, Alexandro",4.00
HIST 60 (39767),Race & Immigration in the US,"American Studies (Pathway), Democracy (Pathway), Diversity",TR 02:00 PM - 3:40pm,HEAFEY 225,"Jara, Alexandro",4.00
HIST 60 (39767),Race & Immigration in the US,"American Studies (Pathway), Democracy (Pathway), Diversity",TR 02:00 PM - 3:40pm,HEAFEY 225,"Jara, Alexandro",4.00
HIST 60 (39767),Race & Immigration in the US,"American Studies (Pathway), Democracy (Pathway), Diversity",TR 02:00 PM - 3:40pm,HEAFEY 225,"Jara, Alexandro",4.00
HIST 60 (39767),Race & Immigration in the US,"American Studies (Pathway), Democracy (Pathway), Diversity",TR 02:00 PM - 3:40pm,HEAFEY 225,"Jara, Alexandro",4.00
HIST 60 (39767),Race & Immigration in the US,"American Studies (Pathway), Democracy (Pathway), Diversity",TR 02:00 PM - 3:40pm,HEAFEY 225,"Jara, Alexandro",4.00
HIST 60 (39767),Race & Immigration in the US,"American Studies (Pathway), Democracy (Pathway), Diversity",TR 02:00 PM - 3:40pm,HEAFEY 225,"Jara, Alexandro",4.00
HIST 96A (39768),US to 1877,"American Studies (Pathway), Democracy (Pathway), Civic Engagement, Diversity",MW 03:30 PM - 5:15pm,HEAFEY 225,"Wigmore, Gregory Stephen",4.00
HIST 96A (39768),US to 1877,"American Studies (Pathway), Democracy (Pathway), Civic Engagement, Diversity",MW 03:30 PM - 5:15pm,HEAFEY 225,"Wigmore, Gregory Stephen",4.00
HIST 96A (39768),US to 1877,"American Studies (Pathway), Democracy (Pathway), Civic Engagement, Diversity",MW 03:30 PM - 5:15pm,HEAFEY 225,"Wigmore, Gregory Stephen",4.00
HIST 96A (39768),US to 1877,"American Studies (Pathway), Democracy (Pathway), Civic Engagement, Diversity",MW 03:30 PM - 5:15pm,HEAFEY 225,"Wigmore, Gregory Stephen",4.00
HIST 96A (39768),US to 1877,"American Studies (Pathway), Democracy (Pathway), Civic Engagement, Diversity",MW 03:30 PM - 5:15pm,HEAFEY 225,"Wigmore, Gregory Stephen",4.00
HIST 96A (39768),US to 1877,"American Studies (Pathway), Democracy (Pathway), Civic Engagement, Diversity",MW 03:30 PM - 5:15pm,HEAFEY 225,"Wigmore, Gregory Stephen",4.00
HIST 96A (39768),US to 1877,"American Studies (Pathway), Democracy (Pathway), Civic Engagement, Diversity",MW 03:30 PM - 5:15pm,HEAFEY 225,"Wigmore, Gregory Stephen",4.00
HIST 158 (38593),Turmoil & Reform: US 1877-1920,"American Studies (Pathway), Democracy (Pathway), Law & Social Justice (Pathway), Race Place & Soc Inequalities (Pathway), Sustainability (Pathway), Diversity",MWF 01:00 PM - 2:05pm,KENNA 214,"Unger, Nancy C",5.00
HIST 158 (38593),Turmoil & Reform: US 1877-1920,"American Studies (Pathway), Democracy (Pathway), Law & Social Justice (Pathway), Race Place & Soc Inequalities (Pathway), Sustainability (Pathway), Diversity",MWF 01:00 PM - 2:05pm,KENNA 214,"Unger, Nancy C",5.00
HIST 158 (38593),Turmoil & Reform: US 1877-1920,"American Studies (Pathway), Democracy (Pathway), Law & Social Justice (Pathway), Race Place & Soc Inequalities (Pathway), Sustainability (Pathway), Diversity",MWF 01:00 PM - 2:05pm,KENNA 214,"Unger, Nancy C",5.00
HIST 158 (38593),Turmoil & Reform: US 1877-1920,"American Studies (Pathway), Democracy (Pathway), Law & Social Justice (Pathway), Race Place & Soc Inequalities (Pathway), Sustainability (Pathway), Diversity",MWF 01:00 PM - 2:05pm,KENNA 214,"Unger, Nancy C",5.00
HIST 158 (38593),Turmoil & Reform: US 1877-1920,"American Studies (Pathway), Democracy (Pathway), Law & Social Justice (Pathway), Race Place & Soc Inequalities (Pathway), Sustainability (Pathway), Diversity",MWF 01:00 PM - 2:05pm,KENNA 214,"Unger, Nancy C",5.00
HIST 158 (38593),Turmoil & Reform: US 1877-1920,"American Studies (Pathway), Democracy (Pathway), Law & Social Justice (Pathway), Race Place & Soc Inequalities (Pathway), Sustainability (Pathway), Diversity",MWF 01:00 PM - 2:05pm,KENNA 214,"Unger, Nancy C",5.00
HIST 158 (38593),Turmoil & Reform: US 1877-1920,"American Studies (Pathway), Democracy (Pathway), Law & Social Justice (Pathway), Race Place & Soc Inequalities (Pathway), Sustainability (Pathway), Diversity",MWF 01:00 PM - 2:05pm,KENNA 214,"Unger, Nancy C",5.00
HIST 160 (39773),Race & Immigration in the US,"American Studies (Pathway), Democracy (Pathway), Diversity",TR 02:00 PM - 3:40pm,HEAFEY 225,"Jara, Alexandro",5.00
HIST 160 (39773),Race & Immigration in the US,"American Studies (Pathway), Democracy (Pathway), Diversity",TR 02:00 PM - 3:40pm,HEAFEY 225,"Jara, Alexandro",5.00
HIST 160 (39773),Race & Immigration in the US,"American Studies (Pathway), Democracy (Pathway), Diversity",TR 02:00 PM - 3:40pm,HEAFEY 225,"Jara, Alexandro",5.00
HIST 160 (39773),Race & Immigration in the US,"American Studies (Pathway), Democracy (Pathway), Diversity",TR 02:00 PM - 3:40pm,HEAFEY 225,"Jara, Alexandro",5.00
HIST 160 (39773),Race & Immigration in the US,"American Studies (Pathway), Democracy (Pathway), Diversity",TR 02:00 PM - 3:40pm,HEAFEY 225,"Jara, Alexandro",5.00
HIST 160 (39773),Race & Immigration in the US,"American Studies (Pathway), Democracy (Pathway), Diversity",TR 02:00 PM - 3:40pm,HEAFEY 225,"Jara, Alexandro",5.00
HIST 160 (39773),Race & Immigration in the US,"American Studies (Pathway), Democracy (Pathway), Diversity",TR 02:00 PM - 3:40pm,HEAFEY 225,"Jara, Alexandro",5.00
HIST 177 (38597),Gay/Lesbians in U.S. History,"American Studies (Pathway), Gender, Sexuality & the Body (Pathway), Law & Social Justice (Pathway), Leading People, Org & Soc Chng (Pathway), Paradigm Shifts (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 10:30 AM - 11:35am,DALY 206,"Unger, Nancy C",5.00
HIST 177 (38597),Gay/Lesbians in U.S. History,"American Studies (Pathway), Gender, Sexuality & the Body (Pathway), Law & Social Justice (Pathway), Leading People, Org & Soc Chng (Pathway), Paradigm Shifts (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 10:30 AM - 11:35am,DALY 206,"Unger, Nancy C",5.00
HIST 177 (38597),Gay/Lesbians in U.S. History,"American Studies (Pathway), Gender, Sexuality & the Body (Pathway), Law & Social Justice (Pathway), Leading People, Org & Soc Chng (Pathway), Paradigm Shifts (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 10:30 AM - 11:35am,DALY 206,"Unger, Nancy C",5.00
