CLASS,DESCRIPTION,CORES SATISFIED,DAYS/TIMES,ROOM,INSTRUCTOR,UNITS,SEATS REMAINING
OMIS 34 (35456),"Science,Info Tech, Busn & Soc","The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",MWF 08:00 AM - 9:05am,KENNA 308,"Tan, Xuan",4.00,None
OMIS 34 (35455),"Science,Info Tech, Busn & Soc","The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",MWF 09:15 AM - 10:20am,KENNA 308,"Tan, Xuan",4.00,None
ANTH 2 Lab (34005),Intro to Archaeology Lab,"Values Science Technology (Pathway), Social Science",M 02:15 PM - 5:15pm,ALMSC 155,"Chiykowski-Rathke, Tanya",N/A,8
ANTH 2 Lab (34019),Intro to Archaeology Lab,"Values Science Technology (Pathway), Social Science",W 02:15 PM - 5:15pm,ALMSC 155,"Panich, Lee M",N/A,None
ANTH 2 (34003),Intro to Archaeology,"Values Science Technology (Pathway), Social Science",MWF 08:00 AM - 9:05am,OCONR 205,"Chiykowski-Rathke, Tanya",4.00,8
ANTH 2 (34018),Intro to Archaeology,"Values Science Technology (Pathway), Social Science",MWF 11:45 AM - 12:50pm,DOWD 208,"Panich, Lee M",4.00,None
ANTH 5 (35563),Pop Culture & Bioanthropology,"Values Science Technology (Pathway), Science Technology & Society",TR 10:20 AM - 12pm,OCONR 107,"Washburn, Eden",4.00,1
ANTH 147 (35564),Archaeology: From Farm to City,"Values Science Technology (Pathway), Science Technology & Society",M 03:30 PM - 6:50pm,SCDI 2301,"Kealhofer, Lisa K",5.00,22
BIOL 117 Lab (34259),Epidemiology L&L Lab,"Values Science Technology (Pathway), Science Technology & Society",T 02:15 PM - 5pm,ONLINE,"Chung, Joyce S",N/A,None
BIOL 117 Lab (34260),Epidemiology L&L Lab,"Values Science Technology (Pathway), Science Technology & Society",R 02:15 PM - 5pm,ONLINE,"Chung, Joyce S",N/A,None
BIOL 117 (34258),Epidemiology L&L,"Values Science Technology (Pathway), Science Technology & Society",TR 08:30 AM - 10:10am,KENNA 308,"Chung, Joyce S",5.00,None
NEUR 1 (34771),Intro to Neuroscience,"Values Science Technology (Pathway), Science Technology & Society",TR 08:30 AM - 10:10am,ALAM 102,"Chen, Lang",4.00,5
PHSC 1 (34726),Introduction to Public Health,"Values Science Technology (Pathway), Science Technology & Society",MWF 01:00 PM - 2:05pm,SCDI 3302,"Parker, Michele T",4.00,None
PHSC 100 Lab (34730),Epidemiology L&L Lab,"Values Science Technology (Pathway), Science Technology & Society",T 02:15 PM - 5pm,ONLINE,"Chung, Joyce S",N/A,None
PHSC 100 Lab (34731),Epidemiology L&L Lab,"Values Science Technology (Pathway), Science Technology & Society",R 02:15 PM - 5pm,ONLINE,"Chung, Joyce S",N/A,None
PHSC 100 (34729),Epidemiology L&L,"Values Science Technology (Pathway), Science Technology & Society",TR 08:30 AM - 10:10am,KENNA 308,"Chung, Joyce S",5.00,None
SOCI 120 (35161),Survey Research & Stats Analys,"Values Science Technology (Pathway), Science Technology & Society",TR 02:00 PM - 3:40pm,ONLINE,"Di, Di",5.00,24
SOCI 128 (35875),"Religion, Science, and Tech","Values Science Technology (Pathway), Social Science",TR 03:50 PM - 5:30pm,ONLINE,"Di, Di",5.00,5
ENGL 73 (34407),Life Writing,"Vocation (Pathway), Advanced Writing, Arts",TR 05:40 PM - 7:20pm,KENNA 105,"Velasco-Moreno, Juan",4.00,1
ENGL 111 (35626),Writing for Social Change,"Advanced Writing, Civic Engagement, Experiential Learning for Social Justice",MWF 02:15 PM - 3:20pm,VARI 128,"Jalal, Mostafa Kamran",5.00,None
ANTH 3 (34004),Intro to Cultural Anthropology,"Experiential Learning for Social Justice, Social Science",MWF 01:00 PM - 2:05pm,KENNA 102,"Jegathesan, Mythri",4.00,6
RSOC 99 (34957),Sociology of Religion,"Experiential Learning for Social Justice, Religion Theology & Culture 2",TR 02:00 PM - 3:40pm,KENNA 212,"Wright, Jaime D.",4.00,None
RSOC 99 (34958),Sociology of Religion,"Experiential Learning for Social Justice, Religion Theology & Culture 2",TR 03:50 PM - 5:30pm,KENNA 102,"Wright, Jaime D.",4.00,None
