CLASS,DESCRIPTION,CORES SATISFIED,DAYS/TIMES,ROOM,INSTRUCTOR,UNITS,SEATS REMAINING
PHIL 32 (35680),Neuroethics,"Applied Ethics (Pathway), Ethics",TR 12:10 PM - 1:50pm,ONLINE,"Ramirez, Erick Jose",4.00,None
PHIL 118 (34764),Ethics and Constitutional Law,"Applied Ethics (Pathway), Democracy (Pathway), Human Rights (Pathway), Law & Social Justice (Pathway), Ethics",MWF 10:30 AM - 11:35am,KENNA 105,"Nelson, Lawrence J",5.00,None
PHIL 185A (34745),University Ethics Bowl Team,"Applied Ethics (Pathway), Civic Engagement",MW 06:00 PM - 7:45pm,ALAM 102,"Bradfield, Erin Cecilia",5.00,None
POLI 30 (34664),Intro to Political Philosophy,"Applied Ethics (Pathway), Democracy (Pathway), Law & Social Justice (Pathway), Politics & Religion (Pathway)",MWF 02:15 PM - 3:20pm,ALMSC 120,"Minowitz, Peter I",4.00,None
POLI 30 (34678),Intro to Political Philosophy,"Applied Ethics (Pathway), Democracy (Pathway), Law & Social Justice (Pathway), Politics & Religion (Pathway)",TR 10:20 AM - 12pm,KENNA 105,"Lukes, Timothy J",4.00,3
POLI 167 (35903),Making Public Policy,"Applied Ethics (Pathway), Design Thinking (Pathway), Law & Social Justice (Pathway)",MWF 02:15 PM - 3:20pm,LUCAS 208,"Harrigan, Matthew Thomas",5.00,3
RSOC 135R (35791),RSS: Architects of Solidarity,"Applied Ethics (Pathway), Experiential Learning for Social Justice, Religion Theology & Culture 3",TR 03:50 PM - 6:15pm,VARSI 114,"Riley, Philip W",5.00,7
SCTR 39 (34978),Biblical Women and Power,"Applied Ethics (Pathway), Gender, Sexuality & the Body (Pathway), Justice and the Arts (Pathway), Paradigm Shifts (Pathway), Religion Theology & Culture 2",MWF 02:15 PM - 3:20pm,CASA 8,"Gibson, Diana C",4.00,None
SCTR 128 (34972),Human Suffering & Hope,"Applied Ethics (Pathway), Human Rights (Pathway), Paradigm Shifts (Pathway), Experiential Learning for Social Justice, Religion Theology & Culture 3",MWF 11:45 AM - 12:50pm,CASA 8,"Gibson, Diana C",5.00,None
TESP 119 (35173),"Theology, Sex & Relationships","Applied Ethics (Pathway), Religion Theology & Culture 3",MW 03:30 PM - 5:15pm,KENNA 216,"Peterson-Iyer, Karen",5.00,None
WGST 47 (35125),Biblical Women and Power,"Applied Ethics (Pathway), Gender, Sexuality & the Body (Pathway), Justice and the Arts (Pathway), Paradigm Shifts (Pathway), Religion Theology & Culture 2",MWF 02:15 PM - 3:20pm,CASA 8,"Gibson, Diana C",4.00,None
WGST 189 (35117),"Sex, Law and Social Justice","Applied Ethics (Pathway), Democracy (Pathway), Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Law & Social Justice (Pathway), Civic Engagement, Ethics",MW 03:30 PM - 5:15pm,GRAHAM 164,"Lodhia, Sharmila",5.00,None
