COURSE TAG,COURSE NAME,CORES SATISFIED
PHIL 112 (51654),"Ethics, Authenticity, Freedom","Applied Ethics (Pathway), Vocation (Pathway), Ethics"
PHIL 185A (50690),University Ethics Bowl Team,"Applied Ethics (Pathway), Civic Engagement"
POLI 30 (50776),Intro to Political Philosophy,"Applied Ethics (Pathway), Democracy (Pathway), Law & Social Justice (Pathway), Politics & Religion (Pathway)"
POLI 30 (50763),Intro to Political Philosophy,"Applied Ethics (Pathway), Democracy (Pathway), Law & Social Justice (Pathway), Politics & Religion (Pathway)"
PSYC 114 (51673),Ethics in Psychology,"Applied Ethics (Pathway), Vocation (Pathway), Ethics"
SCTR 39 (50839),Biblical Women and Power,"Applied Ethics (Pathway), Gender, Sexuality & the Body (Pathway), Justice and the Arts (Pathway), Paradigm Shifts (Pathway), Religion Theology & Culture 2"
SCTR 128 (50835),Human Suffering & Hope,"Applied Ethics (Pathway), Human Rights (Pathway), Paradigm Shifts (Pathway), Experiential Learning for Social Justice, Religion Theology & Culture 3"
WGST 47 (50931),Biblical Women and Power,"Applied Ethics (Pathway), Gender, Sexuality & the Body (Pathway), Justice and the Arts (Pathway), Paradigm Shifts (Pathway), Religion Theology & Culture 2"
ARTH 26 (51537),Art! Making China Modern,"Beauty (Pathway), Gender, Globalization & Empire (Pathway), Politics & Religion (Pathway), Cultures and Ideas 3"
ARTS 30 (51435),Basic Drawing,"Beauty (Pathway), Arts"
ARTS 30 (50257),Basic Drawing,"Beauty (Pathway), Arts"
ARTS 30 (51858),Basic Drawing,"Beauty (Pathway), Arts"
ARTS 32 (50264),Two-Dimensional Design,"Beauty (Pathway), Design Thinking (Pathway), Arts"
ARTS 43 (50258),Basic Painting,"Beauty (Pathway), Arts"
ARTS 43 (50266),Basic Painting,"Beauty (Pathway), Arts"
ARTS 70 (50271),Graphic Design: Typography,"Beauty (Pathway), Design Thinking (Pathway), Arts"
ARTS 143 (50261),Intermediate Painting,"Beauty (Pathway), Arts"
MUSC 9 (51643),Intro to Listening: Electronic,"Beauty (Pathway), Arts"
MUSC 10 (50672),Intro to Listening: Jazz,"Beauty (Pathway), Diversity"
MUSC 189 (51650),Sacred Music and the Church,"Beauty (Pathway), Justice and the Arts (Pathway), Paradigm Shifts (Pathway), Religion Theology & Culture 2"
THTR 30 (50911),Intro to Design,"Beauty (Pathway), Design Thinking (Pathway), Arts"
WGST 104 (51893),"Beauty, Culture & Society","Beauty (Pathway), Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Cultures and Ideas 3"
CHST 75 (50087),Technology and Education,"Children, Family, & Society (Pathway), Design Thinking (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society"
CHST 106 (50080),Urban Educ & Multiculturalism,"Children, Family, & Society (Pathway), Race Place & Soc Inequalities (Pathway), Sustainability (Pathway), Diversity, Experiential Learning for Social Justice"
CHST 138 (50081),Exceptional Child,"Children, Family, & Society (Pathway)"
PSYC 172 (50806),Adolescent Development,"Children, Family, & Society (Pathway)"
PSYC 178 (51676),Advanced Topics:Develop Psyc,"Children, Family, & Society (Pathway)"
ANTH 6 (51529),Screen Time: Cultur/Film/Media,"Cinema Studies (Pathway), Cultures and Ideas 3"
COMM 30 Lab (50045),Digital Filmmaking Lab,"Cinema Studies (Pathway), Design Thinking (Pathway), Arts"
COMM 30 Lab (50046),Digital Filmmaking Lab,"Cinema Studies (Pathway), Design Thinking (Pathway), Arts"
COMM 30 Lab (50038),Digital Filmmaking Lab,"Cinema Studies (Pathway), Design Thinking (Pathway), Arts"
COMM 30 Lab (50047),Digital Filmmaking Lab,"Cinema Studies (Pathway), Design Thinking (Pathway), Arts"
COMM 30 (50036),Digital Filmmaking,"Cinema Studies (Pathway), Design Thinking (Pathway), Arts"
COMM 30 Lab (50039),Digital Filmmaking Lab,"Cinema Studies (Pathway), Design Thinking (Pathway), Arts"
COMM 30 (50037),Digital Filmmaking,"Cinema Studies (Pathway), Design Thinking (Pathway), Arts"
COMM 30 Lab (50044),Digital Filmmaking Lab,"Cinema Studies (Pathway), Design Thinking (Pathway), Arts"
